주소,latitude,longitude
서울특별시 서초구 남부순환로 2451,37.4759329,126.9855635
서울특별시 서초구 동작대로 206,37.5045613,126.9803781
서울특별시 양천구 안양천로 1171,37.5132646,126.8754982
서울특별시 강남구 봉은사로113길 51,37.516014,127.0661316
서울특별시 강남구 논현로 516,37.5299292,127.0254008
서울특별시 동작구 여의대방로 214,37.5051226,126.9232499
서울특별시 은평구 통일로 600,37.599125,126.9381971
서울특별시 송파구 동남로 153,37.5169852,127.1438592
서울특별시 양천구 신정이펜2로 12-1,37.5141099,126.8313378
서울특별시 강남구 양재대로 339,37.4871934,127.0775941
서울특별시 양천구 남부순환로 317,37.5257722,126.8348411
서울특별시 영등포구 신길로 74,37.5127137,126.9107061
서울특별시 구로구 디지털로 300,37.4845924,126.8963929
서울특별시 마포구 월드컵북로 416,37.5852983,126.8785613
서울특별시 용산구 한강대로 32,37.5447751,126.9719446
서울특별시 서초구 잠원로 88,37.5209864,127.016393
서울특별시 중구 남대문시장10길 2,37.5596076,126.9799031
서울특별시 중구 장충단로 275,37.568623,127.0087204
서울특별시 서대문구 세검정로 134,37.5923164,126.9468742
서울특별시 성동구 고산자로2길 65,37.5516202,127.0357559
서울특별시 광진구 능동로 400,37.5649876,127.0844379
서울특별시 마포구 성암로 179,37.5783323,126.8963494
서울특별시 동작구 사당로 90,37.4859191,126.9699382
서울특별시 용산구 원효로 74,37.5322848,126.9520197
서울특별시 구로구 남부순환로105길 112,37.48424,126.88375
서울특별시 관악구 관악로 96,37.4888443,126.957773
서울특별시 관악구 낙성대로3길 11,37.47491505,126.96061794568664
서울특별시 양천구 오목로1길 9,37.5233552,126.8371325
서울특별시 강서구 공항대로 583,37.54860575,126.87025501763299
서울특별시 영등포구 선유서로24길 6,37.5236635,126.8874616
서울특별시 마포구 큰우물로 75,37.5429204,126.9433806
서울특별시 강서구 양천로 452,37.56289445,126.85067102892614
서울특별시 영등포구 도영로 80,37.5079055,126.894735
서울특별시 종로구 자하문로 280,37.5980891,126.9615872
서울특별시 종로구 종로1길 50,37.5746536,126.9788867
